schema	generated_utc	source_f3d_name	source_fusion_data_id	component_name	component_part_number	component_description	component_entity_token	occurrence_count	occurrence_paths	body_name	body_entity_token	body_count	direct_subcomponent_count	body_is_solid	validation_status	validation_details	component_classification	tm_bom_scope	material_name	appearance_name	bbox_x_mm	bbox_y_mm	bbox_z_mm	surface_area_mm2	volume_mm3	mass_kg	density_kg_m3	component_attributes_json	body_attributes_json
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:46.140167+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	05 Opposed-blade vertical linkage rods - simplified(Mirror)	2026-09-04-12-51-40-200		/v4BAAEAPAEAAAAAAAAAAAAA	2	register klep 1000x1000 (1):1+05 Opposed-blade vertical linkage rods - simplified(Mirror):1 | register klep 1000x1000:1+05 Opposed-blade vertical linkage rods - simplified(Mirror):2			2	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_2.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:48.449118+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	02 10 x 98 mm opposed blades - aluminium - 45 deg display state(Mirror)	2026-09-04-12-51-40-197		/v4BAAEAoAEAAAAAAAAAAAAA	2	register klep 1000x1000 (1):1+02 10 x 98 mm opposed blades - aluminium - 45 deg display state(Mirror):1 | register klep 1000x1000:1+02 10 x 98 mm opposed blades - aluminium - 45 deg display state(Mirror):2			10	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_10.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:50.133526+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	05 Dirty-roll housing - upstream face assumed open	2026-09-04-11-41-18-576		/v4BAAEAHgMAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+05 Dirty-roll housing - upstream face assumed open:1			5	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_5.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:53.193795+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	04 Opposed-blade linkage levers - simplified(Mirror)	2026-09-04-12-51-40-199		/v4BAAEAPAIAAAAAAAAAAAAA	2	register klep 1000x1000 (1):1+04 Opposed-blade linkage levers - simplified(Mirror):1 | register klep 1000x1000:1+04 Opposed-blade linkage levers - simplified(Mirror):2			10	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_10.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:54.882485+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	register klep 1000x1000 (1)	2026-09-04-12-51-40-195_1_1	FreeCAD Model	/v4BAAEAigIAAAAAAAAAAAAA	1	register klep 1000x1000 (1):1			0	6		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_0; DIRECT_SUBCOMPONENTS_6.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:56.949342+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	03 12 x 12 mm blade shafts / drive representation(Mirror)	2026-09-04-12-51-40-198		/v4BAAEA7gEAAAAAAAAAAAAA	2	register klep 1000x1000 (1):1+03 12 x 12 mm blade shafts / drive representation(Mirror):1 | register klep 1000x1000:1+03 12 x 12 mm blade shafts / drive representation(Mirror):2			10	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_10.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:58.677996+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	03 FRA side frame / skins - coordination	2026-09-04-11-41-18-574		/v4BAAEAtgIAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+03 FRA side frame / skins - coordination:1			2	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_2.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:01.486658+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	04 Clean-roll housing - upstream face assumed open	2026-09-04-11-41-18-575		/v4BAAEA5AIAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+04 Clean-roll housing - upstream face assumed open:1			5	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_5.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:03.186070+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	08 Media support grille	2026-09-04-11-41-18-579		/v4BAAEAsAMAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+08 Media support grille:1			22	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_22.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:06.089014+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	06 Media guides	2026-09-04-11-41-18-577		/v4BAAEAWAMAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+06 Media guides:1			2	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_2.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:07.235464+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	07 Filter media - horizontal plane	2026-09-04-11-41-18-578		/v4BAAEAhgMAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+07 Filter media - horizontal plane:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCmkGicaJBomWuimmqWm6JgYpybqJJkamuiYWRqZGRqaGiYlJRmC1QDMY0ADYPgMFsHUg6y1NDABFrLxZiAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(229,224,184)	1064.0	8.0	1780.0	3833344.0	15151360.0	118.938176	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:08.618881+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	B plenum en filter en registerkleppen	2026_09_08_@_15-59-24_Simplify_1		/v4BAAEAAwAAAAAAAAAAAAAA	0				0	12		ROOT_ASSEMBLY	Root assembly is not an orderable component.	ROOT_ASSEMBLY	NOT_AN_ORDER_ITEM										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:10.097054+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	inspectieluik gebout aan blindklinkmoeren (1)	2026-09-06-14-19-19-145_1		/v4BAAEAFAUAAAAAAAAAAAAA	1	inspectieluik gebout aan blindklinkmoeren (1):1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCsZJlobGhpaWukYmaYa6JslJKbpJxuZJuimmluZA4URL02QDsFqgGQxoAGyfgQLYOpD1hsbGFgCZcyqBiQAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	1080.0	3.0	660.0	1434934.159	2131764.956	16.734355	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:11.179851+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	inspectieluik gebout aan blindklinkmoeren	2026-09-06-14-19-19-145		/v4BAAEA6gQAAAAAAAAAAAAA	1	inspectieluik gebout aan blindklinkmoeren:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCikmJmaJaQaWuikpqWa6JmnmJrqJZiaWusZJqSYpaabGZskpZmC1QDMY0ADYPgMFsHUWYCstzQBswN6XiQAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	1080.0	3.0	660.0	1434934.159	2131764.956	16.734355	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:12.318119+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	Plenum naar zomer winter of mix	2026-09-06-10-56-09-390		/v4BAAEAwAQAAAAAAAAAAAAA	1	Plenum naar zomer winter of mix:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCubJFsnmqSaJuuZpBom6JkkGRrpJxmZGuiaWZpZpicYmiSkGxmC1QDMY0ADYPgMFsHUWYCtNTQBk6C6tiQAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	1224.0	2504.0	1000.0	17371536.0	19768000.0	155.1788	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:13.693106+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	11 Filter clash envelope 1300 x 2580 x 600 (horizontal)	2026-09-04-11-41-18-582		/v4BAAEAlgQAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+11 Filter clash envelope 1300 x 2580 x 600 (horizontal):1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCgYpBsnJhuYmugZJlom6JmkmJrpJxhZJuqZJRomGiSnJyWkGSWC1QDMY0ADYPgMFsHUWYCsNjQDrfN9xiQAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(77,140,204)	1300.0	2580.0	600.0	11364000.0	2012400000.0	15797.34	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:15.383826+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	09 Clean / dirty media rolls - visual coordination	2026-09-04-11-41-18-580		/v4BAAEALgQAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+09 Clean / dirty media rolls - visual coordination:1			4	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_4.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:18.493471+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	10 Gearmotor - FRA.0202 position, coordination envelope	2026-09-04-11-41-18-581		/v4BAAEAZAQAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+10 Gearmotor - FRA.0202 position, coordination envelope:1			3	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_3.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:19.849087+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	Stevige gelaste sokkel op poten	2026-09-08-15-25-26-717		/v4BAAEAagUAAAAAAAAAAAAA	1	Stevige gelaste sokkel op poten:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCmkmxqZGhpbJuqbmxoa6JmbJKbpJaYmpukYWBmnGZiaJKalGaWC1QDMY0ADYPgMFsHUg6w1NjEwAYtsab4kAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	1324.0	2604.0	150.0	8076120.922	20086924.209	157.682355	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:08:22.366028+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	register klep 1000x1000	2026-09-04-12-51-40-195_1	FreeCAD Model	/v4BAAEAPgUAAAAAAAAAAAAA	1	register klep 1000x1000:1			0	6		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_0; DIRECT_SUBCOMPONENTS_6.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
